sentence,sense_labels,dim1,dim2
"The Ta-oi believe that the water spirit has a special relationship with the water supply pipe of the village: when water is first brought to the village through lo-o bamboo pipes, no one is allowed to use it; the village head and the heads of family clans perform a ritual dedicated to the water spirit with a cock as offering, beseeching it to make sure that the water flow would never dry up and that water would not cause belly ache to those who drink it.
",0,-5.4413953,-1.1352434
"A remarkable phenomenon that has been demonstrated in numerous animal studies is that repeated exposure to organophosphates causes the mammals to be less susceptible to the toxic effects of the AChE inhibitors, even though cholinesterase activities are not normal.
",4,0.90636927,8.489755
"Smith told Drowned in Sound: ""The first line ('The comforting ache of the summer holiday') indicates that queasy feeling of adolescent isolation that I remember experiencing.
",0,-4.482454,-0.72116345
"Ache Crawlers instead includes a page classifier which allows it to sort out irrelevant pages of a domain as well as a link classifier which ranks a link by its highest relevance to a topic.
",1,2.8430102,2.4702272
"The spring gag would be used again in ""Three Little Sew and Sews"", ""An Ache in Every Stake"", with Shemp Howard in ""Hugs and Mugs"" and Curly-Joe DeRita in ""Have Rocket, Will Travel"".
",2,4.7475276,-2.4398198
"The Kapruner Ache creek joins the Salzach River south of the settlement.
",2,3.720027,-1.9367439
"The ""Ache"" LP is Self Immolation #WOMB OYBL 2.
",2,4.5099764,-1.9741068
"""C. esculentus"" has been said to help with digestive problems also used to treat stomach ache and abdominal pain.
",0,-5.6657257,-0.597437
"Reversible AChE inhibitors play an important role in pharmacological manipulation of the enzyme activity.
",4,1.3129034,7.990478
"But after having tasted one cookie, Gifre would freely decide to continue eating cookies until the whole bag is finished, which would result in a terrible stomach ache and would be the worst alternative.
",0,-6.413192,-1.5994592
"Critic Randy Lewis from the ""Chicago Tribune"" noted that the song's ""countrified ache"" represented that part of Charles' career.
",0,-3.832005,-0.47173354
"In 2004, his first solo song 'She Je Boshe Ache' was released as the title track of the teleplay Off Beat, which started at 36:55 of the teleplay.
",2,3.5190363,-2.8332028
"Pain can vary from a dull constant ache to a sudden sharp feeling.
",0,-5.408259,-1.0851561
"In that sense, the play recalls Edward's reversal of roles with the silent Matchseller in Pinter's 1959 play ""A Slight Ache"", initially broadcast on BBC Radio 3, and similarly ironic plot and character role-reversals resulting from power struggles throughout many of Pinter's other plays.
",2,5.0136976,-3.4080665
"A Slight Ache is a tragicomic play written by Harold Pinter in 1958 and first published by Methuen in London in 1961.
",2,4.42154,-2.9479375
"The soundtrack to the song ""সে যে বসে আছে(Se Je Boshe Ache)"" had been a collaborative effort between Black and Arnob.
",2,5.8755007,-2.8915725
"Immediately following this healing, he turns to the local country horse doctor to cure a headache and stomach ache.
",0,-5.6120844,-1.5335271
"From the lake, the Königsseer Ache creek runs down to Berchtesgaden.
",2,5.3207045,-1.9988751
"When the snow reaches certain levels the road and railway line are closed and a diversion is used via Seefeld and the narrow valley of the Leutascher Ache to Mittenwald.
",2,5.663821,-2.151165
"""... we ache for her when Wicks lets loose on the gorgeous ballad ""Eiffel Tower.""""
",0,-4.0186963,-1.6468586
"My voice is not classically trained--there's smoke in there (though I'm not a smoker) and some ache, hopefully some soul.
",0,-4.2847967,-0.7980108
"""Dummy Ache"" was preserved by the Academy Film Archive and the Library of Congress in 2013.
",2,4.255962,-2.998437
"Drinking water quality has improved and the director says he is drinking the tap water without boiling and challenged his customers: “If you get stomach ache after drinking the tap water, I will pay you compensation”.
",0,-5.3224573,-1.1448395
"Hawkes uses the Ache people of Paraguay as evidence for the Show-off hypothesis.
",2,3.593713,-2.197505
"Some of the famous horses who stood at the farm in recent times and are buried there include Bally Ache (1957–1960), Sovereign Dancer (1975–1994), and Fappiano (1977–1990).
",2,4.397498,-2.2916484
"The idea to weave a story around the next generation came from a line from the introductory song 'Mora dujonai rajar jamai in 'Hirak Rajar Deshe' — ""aar ache polapan, ek khan ek khan... (we have one child each)"".
",0,-2.754507,-0.19920798
"French comics artist Jean Ache adapted the story into a newspaper comic for Jeudi-Matin in 1949.
",2,3.3093574,-1.9055626
"Damage to the visceral pleura is experienced as an un-localized ache.
",0,-4.9682612,-0.419165
"""Ethnologue"" classifies Ache as a Southeastern Loloish language, and lists 35,000 speakers as of 2003.
",2,3.8005838,-1.8162491
"Online gave it an A and stated: ""Gorgeous and intimate, the 14 songs on her debut disc ache with romantic maturity and a smart, slow-jam sexiness that belies the fact that, at 22, Jones is hardly older than Britney Spears.""
",0,-4.188298,-1.2767569
"As a result, the ACHE Crawler first downloads web links that has the higher relevance and saves resources by not downloading irrelevant data.
",3,1.3461626,4.743287
"The Man with the Yellow Hat realizes that George had accidentally swallowed the piece the night before, which explains why it was missing and why he had a tummy ache the whole time.
",0,-4.9793615,-0.78512985
"Oetz is a municipality in the Imst district of Tyrol, Austria, located 11.7 km (7.3 mi) southeast of Imst at the lower course of the Ötztaler Ache in the outer Ötztal valley at the foot of Acherkogel mountain (3 008 m, 9,869 ft).
",2,6.6088867,-2.1288776
"Irreversible AChE inhibitors have been used in insecticides (e.g., malathion) and nerve gases for chemical warfare (e.g., Sarin and Soman).
",4,1.2885271,8.214
"Organophosphates (OP), esters of phosphoric acid, are a class of irreversible AChE inhibitors.
",4,0.87807035,8.249877
"On the far side of the Saalach the road runs into the Leoganger Tal between the Leoganger Steinberge and the Loferer Steinberge to the north and the Kitzbühel Alps to the south via Leogang up to the Grießen Pass (), and via Fieberbrunn downhill again into the valley of the Kitzbühler Ache to St. Johann in Tirol.
",2,6.1475515,-2.3974237
"The ballad ""Cruel"" is sung from the perspective of a self-proclaimed liberal man trying to balance his feminist beliefs with his romantic ache and urge to deliver old-fashioned love platitudes.
",0,-4.5086164,-0.34693143
"Wherof often tymes is sene to ensue ache, or the decreas of strength or agilitie in the armes: where, in shotyng, if the shooter use the strength of his bowe within his owne tiller, he shal neuer be therwith grieued or made more feble.
",0,-3.7568934,-0.095102556
"For example, adding seawater to a boiling pot ""linked"" to a victim is said to cause the victim's belly to swell and ache in time with the tides.
",0,-5.8117414,-1.5015404
"The PRAD interacts with the C-terminal T-peptide of AChE.
",4,1.059198,8.100839
"30 January - ADF militants kill 21 civilians in three separate attacks on Oicha, Ache, and Mandumbi.
",2,3.3097878,-2.4765968
"Ostroushko has studied hard through his career, and pulls together these different parts of traditional music—the ache of the blues and country, the stomp of traditional folk, the vibe of jazz—into a cohesive whole... Postcards does suffer from some of the usual instrumental album pitfalls.
",0,-4.2896814,-0.20910485
"Ghoshal recorded devotional songs in albums like ""Banomali Re"" (2002), and later, ""Krishna Bina Ache Ke"" (2007).
",2,4.5036416,-3.1258903
"Mar 1988: ""A Slight Ache"" by Harold Pinter + ""The Two Executioners"" by Fernando Arrabal + ""Catastrophe"" by Samuel Beckett, directed by Eric Sackheim (three one-act staged readings)
",2,5.027118,-2.976229
"At these, food is offered to specific orichas while the rest is shared among participants, with the latter thereby gaining some of the ache of the orichas.
",0,-4.0154567,0.5357315
"Adverse drug reactions from cyclophosphamide are related to the cumulative medication dose and include chemotherapy-induced nausea and vomiting, bone marrow suppression, stomach ache, hemorrhagic cystitis, diarrhea, darkening of the skin/nails, alopecia (hair loss) or thinning of hair, changes in color and texture of the hair, lethargy, and profound gonadotoxicity.
",0,-6.1238656,-0.9077098
"A large number of AChE inhibitors are used in both medicine and agriculture.
",4,1.2602636,8.316777
"A young woman, Alice (""Selma Blair""), goes to the gynecologist with a mysterious ache inside her.
",0,-4.7052817,-0.36581242
"After missing a match against Livorno on 16 February 2014 due to ""muscle ache in the rectus femoris of the left leg"", he returned to the starting line–up and captained for Cagliari in the next two matches, earning four points for the side.
",0,-6.0960875,-1.5031724
"Paley replied that he did not want a constant stomach ache every time Murrow covered a controversial subject.
",0,-5.701663,-1.7019979
"His head starts to ache, and the mermaid tells him he will die of it.
",0,-5.548329,-2.0664804
"In the meantime, Ache was raised alongside his cousin, who was ruler of Tondo – presumed by some to be Bunao Lakandula.
",2,3.9071383,-2.3087971
"The vowels were pronounced in a short vowel length ""(ah), E (eh), I (ih), O (oh), U (uh)"" while the consonants were pronounced as ""B (be), C (se), Ch (che), D (de), F (efe), G (he), H (ache), J (hota), K (ka), L (ele), LL (elye), M (eme), N (ene), NG (nang), Ñ (enye), Ñg or Ng̃ or N͠g or Gñ (ñga or ng̃a or n͠ga or gña), P (pe), Q (ku), R (ere), RR (er-re), S (ese), T (te), V (ve), W (wa), X (ekis), Y (ya or i griega or ye), Z (zeta).""
",0,-2.9939353,0.45722836
"Later, Madison annoys Sonia by pretending to have a stomachache ache.
",0,-4.155652,-0.7310155
"With the administration of phenserine, 70% or higher AChE inhibitory action in the blood was observed in preclinical studies and with systemic phenserine administration, the extracellular ACh level in the striatum increased up to three times.
",4,1.6809555,8.915583
"Then Slane starts complaining of a stomach ache – he ate a meal with the indigenous natives on the planet Malvis while he was there yesterday.
",0,-6.064212,-1.811872
"Sautens is a municipality in the Imst district located southeast of Imst on the lower course of the Ötztaler Ache.
",2,5.7393594,-2.230746
"The specific enzyme linked to these changes is called acetylcholinesterase (AchE) which may be affected by a genetic predisposition in an immune-system brain receptor called the histamine H1 receptor.
",-1,5.8380666,1.7481506
"Films like ""Playing the Ponies"", ""An Ache in Every Stake"", ""Sock-a-Bye Baby"", and ""I Can Hardly Wait"" are finer examples of Curly preparing food and creating comedy genius with little effort.
",2,4.384814,-2.672669
"I'd like to think they were singing about something so beautiful it can't be expressed in words, and it makes your heart ache because of it.""
",0,-5.405949,-2.4470875
"Some of the foods that Janice and Ray express disgust at are; shiitake mushrooms (pronounced by them as ""shit ache"" mushrooms), grapes in brie cheese sandwiches, vegetable tempura and tentsuyu (described as ""battered veg"" with ""spicy jam""), gazpacho and escargots.
",0,-3.9979599,0.4052374
"He praised his vocals for conveying the ""giddy rush of romance followed by the ache of love lost"".
",0,-5.3552938,-1.2400236
"Many ""organophosphates"" are potent nerve agents, functioning by inhibiting the action of acetylcholinesterase (AChE) in nerve cells.
",4,2.244531,8.789468
"In folk medicine in Honduras the boiled root of ""Dorstenia contrajerva"" is used to cure diarrhea, dysentery, and stomach ache.
",0,-5.619567,-0.8430631
"That same year, he rode Bally Ache to victory in the Florida Derby and the Flamingo Stakes en route to a second-place finish in the Kentucky Derby and then a win in the Preakness Stakes.
",2,3.7082536,-2.56733
"When diazinon enters the body, it is oxidatively decomposed to diazoxon, an organophosphate compound that is much more poisonous than diazinon; it mainly causes the inhibition of AChE.
",4,1.1523206,8.27806
"Laura Lockington reviewed the book in the Brighton and Hove Independent: ""Bramwell takes us on a roller coaster ride of discovery, from deep Doncaster, to outlandish Brighton in the 1990s...I expected this book to be funny (and it is) and full of quirky stories and facts (it really, really is) but I hadn't expected to feel the full ache of nostalgia for a city that has all but disappeared.""
",0,-5.233302,-0.71729445
"The main rivers in Vorarlberg are the Ill (running through the Montafon and Walgau valleys into the Rhine), the Rhine (forming the border with Switzerland), the Bregenzer Ache and the Dornbirner Ach.
",2,6.3360925,-1.9564484
"Cash's career picked up considerable momentum with the release of her second album, ""Seven Year Ache"", in 1981.
",2,4.608008,-3.792239
"When given more of a role, he often appears to have little-to-no patience for any animal that provokes him, usually responding with threats, such as when a truth-telling Private nearly revealed a secret about him in the ""Truth Ache"" episode involving a ""vacation"" in Tijuana.
",2,3.197877,-2.5935957
"Another project of Ache Records was its compilation album ""Project: Bicycle"".
",2,3.7914567,-1.4330227
"Anti-cholinergic drugs work to counteract the effects of excess acetylcholine and reactivate AChE.
",4,1.0737627,8.09634
"Zinc lozenges shortened the duration of muscle ache by 54%, but there was no significant effect on the duration of headache and fever.
",0,-5.3175535,0.21284285
"Nerve agents inhibit acetylcholine esterase (AChE) by forming an adduct with the enzyme via a serine residue on that enzyme.
",4,2.3062694,8.323527
"In general AzM exposure can be better detected by AChE inhibition than CaE inhibition.
",4,1.0702348,8.242475
"All the sonic elements that have travelled with the Baltimore dream-pop duo during their steady ascent over the last five years are intact: Alex Scally's narcotic guitar, a steady backbeat, and Victoria Legrand's smoky ache of a voice.
",0,-4.031845,-0.056866836
"Ache is spoken in Shuangbai County (pop.
",1,3.0812287,1.7197437
"The ACHE Crawler is used to gather links and utilizes a learning strategy that increases the collection rate of links as these crawlers continue to search.
",3,1.4014803,5.0640783
"The Brixentaler Ache is river of Tyrol, Austria, a right tributary of the Inn.
",2,6.320631,-1.9216676
"However, the Rajah's ally in northern shores of Manila Bay, historically known as the young Bambalito of Macabebe, asked Rajah Soliman (Old Ache) to revoke his alliance with the Spaniards.
",2,4.0717554,-2.3377845
"There, she joined the theatre society, and gained parts in the stage plays: ""Sore Throats"" and ""A Slight Ache"" both directed by Thom Tuck; ""Skylight"" directed by Michael Sophocles; ""Private Lives"" directed by Frederic Wake-Walker; ""Bedroom Farce"" directed by Simon Yadoo; the speaker in the ""Vagina Monologues"" directed by Alice Russell.
",2,4.188597,-3.1858327
"It is widely used in ritual purification and as folk medicine for stomach ache, as a sudorific, and as liniment for rheumatism.
",0,-5.5040464,-0.40889773
"Andre described himself as being ""flat broke"" and ""scraping by doing commercials and random stand-up,"" including performing as a caveman for Geico, when he produced the pilot for ""The Eric Andre Show"", known originally as ""Duh Air Ache On Dre Shoe"".
",2,4.211225,-2.7355816
"Regarding the health status of Mahul residents, the report contained a ""list of health diseases after moving to Mahul"" which mentioned skin infection (204 instances), complaints of fever cold and cough (129), complaints of body ache (72), stomach issues (56), respiratory diseases (34), blood pressure disorders (29), eye infections (25), diabetes (30) and tuberculosis (15).
",0,-5.2907524,-0.12457096
"After the stomach ache worsened, he went to the hospital instead of the game and later had his appendix removed.
",0,-5.670714,-1.3394543
"But such usage is now outdated; the current, unambiguous HGNC names and symbols are acetylcholinesterase (ACHE) and butyrylcholinesterase (BCHE).
",4,2.443386,8.162583
"Symptoms of the disease including hemorrhaging, blindness, back ache, vomiting, which generally occur shortly after the 12- to 17-day incubation period.
",0,-5.584964,-0.97112995
"The plant also has traditional herbal uses; various parts are used to treat toothache, diarrhoea, stomach ache, worms, headache, pain and the after effects of intoxication.
",0,-6.0328584,-0.91191083
"However, when the dragon ate the delectable fish offered, it caused a belly ache that eventually proved his death.
",0,-5.0469637,-1.4939164
"The following systemic symptoms may also occur: chest discomfort, fever, sore throat, difficulty in swallowing, loss of voice, weak feeling in limbs, walking haltingly, general ache, lockjaw, and difficulty in breathing.
",0,-5.482274,-0.12178996
"He was declared missing on 8 August and found 13 days later in the Ötztaler Ache river.
",2,4.521445,-2.2933602
"In addition, taraxerol can inhibit acetylcholinesterase (AChE) activity in rat's hippocampus.
",4,2.2405534,8.60421
"Except at its outlet, the Königsseer Ache at the village of Königssee, the lake is similar to a fjord, being surrounded by the steeply-rising flanks of mountains up to , including the Watzmann massif in the west.
",2,4.995722,-2.160299
"This may manifest itself as a diffuse ache in the wrist upon activity, and can persist for many months.
",0,-5.7694097,-1.3616862
"Chaos ensues when Luke's stomach ache and Claire tells him it will be fine.
",0,-4.4218955,-1.3505207
"Animal studies have shown that MSF-induced inhibition of AChE is highly selective for the brain when it is studied in vivo.
",4,1.325853,8.23761
"The theory accepted by most scholars is that early sources record his deterioration of health condition, his complaints of pain in the chest ""like an iron ball"", and as ""Kenshin Gunki"" (1582) records ""on the 9th day of the 3rd month he had a stomach ache in his toilet.
",0,-5.2131233,-1.5207043
"Kitzbühel, situated in the Leukental on the Kitzbüheler Ache river, is a valley town with most of its centre car-free, and with a large selection of up-market shops and cafes.
",2,6.0523205,-2.1848037
"The condition may cause chronic pain, such as a constant dull ache, which can be worsened by standing or sex.
",0,-5.2862296,-0.46723375
"It was released in August 1981 as the second single from the album ""Seven Year Ache"".
",2,4.744073,-3.8618357
"An endogenous inhibitor of AChE in neurons is Mir-132 microRNA, which may limit inflammation in the brain by silencing the expression of this protein and allowing ACh to act in an anti-inflammatory capacity.
",4,1.8450258,9.118742
"In French, the name of the letter is written as ""ache"" and pronounced .
",0,-3.2737184,0.19085717
"Inhibition of AChE results in an immediate accumulation of free unbound ACh at the ending of all cholinergic nerves, which leads to overstimulation of the nervous system.
",4,1.5739757,8.668474
"Porky explains that he has a stomach ache brought on by overeating at his birthday party.
",0,-5.969578,-1.8368478
"Cash's third album, ""Somewhere in the Stars"" (1982), was considered a disappointment after the commercial success of ""Seven Year Ache"".
",2,5.044145,-4.2617927
"She wasn't interested in the gymnastics work, as the exercises made her ""ache all over"".
",0,-5.1528435,-1.0563731
"Loss of AChE activity leads to excessive nervous stimulation, which results in neuromuscular paralysis and may even cause respiratory failure.
",4,1.2185091,7.9054217
"Ache is a You've Got Foetus on Your Breath album first released in 1982 on Self Immolation Records.
",1,2.6680806,1.9468845
"Side effects may include stomach ache, vertigo, pale skin, flatulence, headache, or tremor.
",0,-5.704083,-1.4268179
"He has numerous theatre credits to his name including: Roberto Miranda in ""Death and the Maiden at the Royal Court"", Maskwell in ""The Double Dealer"" and Claudio in ""Much Ado About Nothing"" at the National Theatre, Reg in ""Butley"" at The Criterion, and also ""The Cherry Orchard"", ""The Seagull"", ""Romeo and Juliet"", ""Mayor of Zalamea"", ""All My Sons"", ""Lulu"", ""Faith Healer"", ""Duchess of Malfi"", ""A Slight Ache"", and ""Molly Sweeney"" amongst many others.
",2,4.610648,-3.444367
"The monks had an artificial watercourse (""Almkanal"") built, running from the Berchtesgadener Ache via Grödig to the Salzburg city centre, including a passage through the Mönchsberg hill.
",2,5.5110073,-2.2113507
"Some historians suggest that Ache's decision to attack must have been influenced by a desire to expand his fleet even further as he made his way back to Lusong and Maynila, where he could use the size of his fleet as leverage against his cousin, the ruler of Tondo.
",2,4.0601497,-2.8882134
"A left tributary, the Leoganger Ache, empties into the Saalach from the west.
",2,4.300582,-2.114895
"The cirque between the north face of the Steinbergstein, the ""Ramkarkopf"" (2,063 m) and the ""Steinberg"" (1,886 m), which is rich in springs, forms the ""Steinberggraben"" stream that empties into the Windauer Ache river.
",2,5.9564877,-2.0854237
"The week-long festivities are marked by eating and drinking, with ""Ache Lhamo"", the Tibetan opera performances as the highlight, held in the park and other venues in the city.
",2,4.707893,-2.5219803
"Abstinance from the drug causes headaches, a swelling tongue, shaking limbs, aversion to brightness, and a chill as well as an overall ache and fatigue.
",0,-5.556638,-0.9757426
"Organophosphorus AChE inhibitors can bind temporally to the catalytic site of the enzyme.
",4,1.2546893,7.8291116
"By 1570, his son Ache had succeeded to the position himself, and had come to be known as ""Rajah Matanda"" (lit.
",2,3.55225,-2.2800333
"The Bregenzer Ach (also: ""Bregenzer Ache"") is the main river of the Bregenz Forest, in the Austrian state of Vorarlberg.
",2,6.4697914,-1.6217037
"In the presence of Demeton-S-methyl, an accumulation of AChE occurs, which can result in impeded neurotransmission.
",4,1.1592767,7.836368
"Death from Above 1979 released their first EP, ""Heads Up"", on Ache in 2002, as well as the vinyl edition of their 2004 album ""You're a Woman, I'm a Machine"".
",2,2.4807947,-2.0587363
"Increasing settlement in the Leuken and Achen valleys, the lower valleys of the Ache, since the 1960s led to heavy pollution of the Tiroler Achen, and hence the Chiemsee, with sewage.
",2,5.380921,-2.3858373
"It describes 131 plants, giving a multitude of prescriptions for maladies, ranging from madness, paralysis, dysentery, fertility, stomach ache and ulcers, to antidotes for various poisons.
",0,-5.5604005,-1.0746515
"The most common side effects are infection, suppression of the bone marrow (decreasing numbers of leukocytes, erythrocytes, and thrombocytes), headache, hemorrhage (bleeding), pleural effusion (fluid around the lungs), dyspnea (difficulty breathing), diarrhea, vomiting, nausea (feeling sick), abdominal pain (belly ache), skin rash, musculoskeletal pain, tiredness, swelling in the legs and arms and in the face, fever.
",0,-6.265132,-1.1997352
"Non-specific symptoms often described are fever, muscle ache and weight loss.
",0,-5.2085185,-0.6767123
"and come out with a belly ache.
",0,-4.9046254,-1.2706311
"Side effects increase with dosage and include drowsiness, mild stomach ache, lethargy, urinary retention, bradypnea, constipation, nausea, respiratory depression and death.
",0,-5.4714026,-1.3144507
"We know this ache of our lands.
",0,-4.095322,-0.46581843
"It exhibits AChE inhibiting activity.
",4,1.0048472,7.935037
"The founding of the City of Manila by uniting the dominions of Sulayman III of Namayan, Sabag, Rajah Ache ""Matanda"" of Maynila who was a vassal to the Sultan of Brunei, and Lakan Dula of Tondo who was a tributary to Ming Dynasty China – caused the establishment of Manila on February 6, 1579, through the Papal bull ""Illius Fulti Præsidio"" by Pope Gregory XIII, encompassing all Spanish colonies in Asia as a suffragan of the Archdiocese of Mexico.
",2,4.175175,-2.7665539
"The winner of the Kentucky Derby, Venetian Way, and Preakness Stakes winner Bally Ache contested the race.
",2,3.8311393,-2.466984
"""Midnight Organ Flight"" is full of rousing barnburners that flicker with soul, ballads that ache with masculine vulnerability, and Frightened Rabbit's best song yet, opener ""The Modern Leper"""".
",0,-4.38787,-1.067946
"It is popularly believed that the tradition of performing Ache Lhamo or Tibetan Opera was started by 14th-century mystic Thang Tong Gyalpo, who was born in the family of a peasant in the Shigatse county of Tibet in 1361.
",2,5.1089964,-1.3151253
"The dangers in metabolizing TOCP to CBDP occur when its potential to bind to AChE become imminent, for inactivation of the enzyme in nerve synapses can be lethal.
",4,1.0929296,8.329387
"Wright released an album, ""Fawkes Ache"", with his side project, The Tragedy of Dr Hannigan, in 2017.
",2,3.5029335,-2.6311164
"The second full-length, ""Mammal Class"", was released later in the same year on Ache Records.
",2,3.6958537,-1.9763721
"Steve Hochman of the ""Los Angeles Times"" stated that Olson and Gary Louris ""achieve a yearning ache that would have done top Burrito Gram Parsons proud"".
",0,-4.196379,-0.5512269
"To the north its boundary runs from Ehrwald along the Gaisbach stream and the Ehrwalder Alm into the Gaistal (Leutascher Ache) and continues through Leutasch–Oberweidach and past the Simmelberg to the north to the Drahnbach.
",2,5.101468,-1.6844822
"I will send you home to your Sylvester with an ache in your belly and your womb turned inside out.
",0,-4.667921,-1.2662774
"It crosses the Tiroler Ache river at Übersee and then follows a gradient of 1:100 to Bergen (Oberbay) station.
",2,5.9582777,-2.05303
"Some of the most common symptoms are: tiredness of the eyes while looking at close objects, eye ache, headache.
",0,-5.876149,-1.0626181
"Listen to ""Seven Days,"" ""Missing You"" and the already-classic ""Not Gon' Cry"" (also on the ""Waiting to Exhale"" soundtrack), and you hear Blige's signature ache married to newfound technique.
",0,-4.100921,-0.47847652
"The title of the album was appropriated from the name of an obscure Texas band (formed entirely independently of Allin) - which performed as his backing band for several live dates in the late 1980s, a name in turn appropriated by Allin for the name of the studio band (including Allin's friend Mark Sheehan on guitar) which recorded the GG Allin and the Murder Junkies ""Watch Me Kill"" 6-track EP, released on Fuckin' A/Stomach Ache Records in 1991.
",2,5.2000475,-3.3188062
"The first release on Ache Records was Hot Hot Heat's release, ""Hot Hot Heat"" (1999), a four-song EP.
",2,3.9002182,-1.6985167
"Released on 16 November 2010 through Hydra Head Records, it combines the band's out-of-print, debut 2004 EP ""Heart Ache"" with a previously unreleased EP titled ""Dethroned"".
",2,3.7457383,-3.201593
"It and is located 17 km southeast of Imst at the Ötztaler Ache in the Ötztal.
",2,5.4102974,-2.4787793
"The University of Saskatchewan newspaper, ""The Sheaf"", says that Ache has an ""inconsistency of genres"" and the label distances itself from using genres to describe its releases.
",2,3.9941561,-1.5232879
"Other stage performances include David Schulner's ""An Infinite Ache"" in New Haven, Connecticut and as part of ""Shinsai: Theaters for Japan"", a benefit production performing ""Four Black Dragons"" and ""Next"" from ""Pacific Overtures"" by Stephen Sondheim and John Weidman.
",2,3.9686918,-2.871638
"In 2005 Jamieson won the Aurealis Award for best science fiction short story with his story ""Slow and Ache"".
",2,3.9899743,-2.991884
"The first release on Ache Records was Hot Hot Heat's ""Hot Hot Heat"", a four-song EP.
",2,3.8914366,-1.7216935
"Barry Walters was more receptive in a retrospective review for ""Rolling Stone"", saying ""rock has always excelled at embodying adolescent ache.
",0,-4.496066,0.008691111
"Hardy's writing often explores what he called the ""ache of modernism"", a theme notable in ""Tess"", which as one critic noted, portrays ""the energy of traditional ways and the strength of the forces that are destroying them.""
",0,-4.54618,-0.40947884
"Physical symptoms can include: loss of appetite, body weakness, stomach ache, insomnia, fever, nausea, eye infections, lack of energy, and temperament.
",0,-6.008819,-1.1468695
"There is little published data on adverse effects; in one study of a combination drug of benfotiamine, pyridoxine, and cyanocobalamin, around 8% of people taking the drug experienced nausea, dizziness, stomach ache and weight gain, all of which are strongly associated with the common, normal aging process.
",0,-5.7217336,-1.4789538
"At the end of the 1960s, he interrupted this activity for a few years because of ""ideological stomach ache"", then continued it from 1972 until his death as an unofficial collaborator.
",0,-5.6508055,-1.9075192
"Near vision will be blurred, and astenopic symptoms like head ache and eye strain may occur while reading.
",0,-6.1715374,-1.2550331
"Readers were told they would ""laugh 'till your sides ache'"".
",0,-5.304234,-1.9287282
"Kelchsauer Ache is a river of Tyrol, Austria.
",2,6.0705433,-1.6804909
"Per the efforts of conquistador Martín de Goiti – who founded the City of Manila by uniting the dominions of Sulayman III of Namayan, Sabag, Rajah Ache ""Matanda"" of Maynila who was a vassal to the Sultan of Brunei, and Lakan Dula of Tondo who was a tributary to Ming Dynasty China – the Diocese of Manila was established on February 6, 1579, through the Papal bull ""Illius Fulti Præsidio"" by Pope Gregory XIII, encompassing all Spanish colonies in Asia as a suffragan of the Archdiocese of Mexico.
",2,4.474568,-2.6799552
"Reflecting on Bob Dylan's influence, Cardiff says """"I had the same relationship with Bob Dylan's songs that I think everyone does with a favourite artist – I tried to crack the code about what he was writing about, while sitting in the middle of their tangle and ache and joy.
",0,-4.6465755,-1.0060644
"Good for gut's ache!"").
",0,-4.5427456,-0.4760547
"He is married to Galician actress, theatre director, and writer Maria Fernandez Ache with whom he has a daughter, Dafne Keen, who is also an actress.
",2,3.3984973,-2.4154944
"AChE is an enzyme involved with neurotransmission.
",4,1.0725833,6.6846766
"Eye drops can result in brow ache and chronic use in miosis.
",0,-5.5207977,-0.9347032
"Hangover symptoms validated in controlled studies include general malaise, thirst, headache, feeling dizzy or faint, tiredness, loss of appetite, nausea, stomach ache, and feeling as though one's heart is racing.
",0,-6.466495,-1.5597118
"It's an exit that does justice to both the actor and the role, and it leaves an ache in the movie.""
",0,-4.755625,-0.9705229
"Over the next few years, he would release two more singles, a 12"" EP, and four full-length albums, ""Deaf"", ""Ache"", ""Hole"" and ""Nail"" (Some Bizzare Records) .
",2,3.3309486,-2.5020058
"At , near Sölden, it takes up the and its name changes to Venter Ache.
",2,4.433261,-2.239528
"After leaving the Leukentals and Tyrol the river is known in Bavaria as the ""Tiroler Ache"" until it discharges into the Chiemsee lake, and its valley is known as the Achental.
",2,6.187741,-1.6421714
"It was released December 15, 2002, through Ache Records.
",2,3.4549472,-2.0592005
"Usually it is given in combination with paracetamol to treat stomach ache, as well as pyrexia.
",0,-5.7715154,-0.76675713
"Väinämöinen hits Vipunen in the stomach so hard that he gives up the luotes to get rid of the stomach ache.
",0,-5.1879864,-0.8369371
"This gag was also used in ""Hoi Polloi"", ""An Ache in Every Stake"", ""Hugs and Mugs"" and ""Have Rocket, Will Travel"".
",2,4.3554087,-2.665427
"The carbamate pesticides are also examples of reversible AChE inhibitors.
",4,1.257929,8.157508
"From December 2007 to March 2008, he played Benedick in ""Much Ado About Nothing"" directed by Nicholas Hytner and from February to July 2008, he played Andrew Undershaft in Hytner's production of Shaw's ""Major Barbara""; he then appeared in Harold Pinter's ""A Slight Ache"" and ""Landscape"".
",2,5.1446147,-3.5178554
"On 9 October 2015, they released their debut EP, ""Pain / Ache / Loving"".
",2,4.1941137,-2.5899272
"Ageha begins to feel nervous about how the two are leaving her out of everything and begins to complain that she has a stomach ache.
",0,-5.666659,-1.8934531
"When revived in 1959 the race was open to two-year-olds of either sex and won by the 1960 Preakness Stakes winner, Bally Ache.
",2,4.0547404,-2.550081
"The album includes a cover version of Rosanne Cash's ""Seven Year Ache,"" with Cash even providing background vocals.
",2,4.6915264,-3.6246169
"Julia Morse wrote, ""Harjo's poems ache with grit, grief and nature.
",0,-4.0095506,-1.3469504
